Review,Brand,Variety,Style,Country,Stars,Count,Average,Count_no
524,Nissin,Cup Noodles Spicy Seafood,Cup,Hong Kong,3.75,234,3.8018248175182485,99
497,Nissin,Demae Iccho Seafood & Abalone Macaroni,Pack,Japan,4,234,3.981605113636364,77
400,Nissin,Cup Noodles Seafood Curry,Cup,Hong Kong,4.25,234,3.8018248175182485,99
392,Nissin,Yakisoba Noodles Karashi,Tray,Japan,5,234,3.981605113636364,4
384,Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4,234,3.981605113636364,77
365,Nissin,Cup Noodles Prawn,Cup,Singapore,3.25,234,4.126146788990826,99
363,Nissin,Demae Iccho Tonkotsu Macaroni,Pack,Japan,3.5,234,3.981605113636364,77
296,Nissin,Cup Noodles Crab,Cup,Hong Kong,3.25,234,3.8018248175182485,99
284,Nissin,Cup Noodles Seafood,Cup,Hong Kong,4.5,234,3.8018248175182485,99
244,Nissin,Karashi Mayo Yakisoba,Tray,Japan,4.75,234,3.981605113636364,4
196,Nissin,Cup Noodles Pani Puri,Cup,India,1.5,234,3.3951612903225805,99
189,Nissin,Cup Noodles Manchurian,Cup,India,3,234,3.3951612903225805,99
157,Nissin,Sotanghon,Cup,Philippines,2,234,3.3297872340425534,99
124,Nissin,Yakisoba With Mayonnaise/Mustard Packet,Tray,Japan,5,234,3.981605113636364,4
85,Nissin,Demae Ramen Sesame,Pack,Japan,3.75,234,3.981605113636364,77
83,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2,234,3.981605113636364,77
82,Nissin,Demae Ramen Miso,Pack,Japan,2.75,234,3.981605113636364,77
78,Nissin,Demae Ramen Seafood,Pack,Japan,2.5,234,3.981605113636364,77
77,Nissin,Demae Ramen Prawn,Pack,Japan,3.25,234,3.981605113636364,77
74,Nissin,Demae Ramen Shoyu,Pack,Japan,4,234,3.981605113636364,77
73,Nissin,Demae Ramen Five Spices Artificial Beef,Pack,Japan,3.5,234,3.981605113636364,77
72,Nissin,Demae Ramen Tonkatsu Artificial Pork,Pack,Japan,3.5,234,3.981605113636364,77
71,Nissin,Demae Ramen Satay,Pack,Japan,2.5,234,3.981605113636364,77
70,Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4,234,3.981605113636364,77
63,Nissin,Souper Meal Chicken Flavor With Vegetable Medley,Bowl,Japan,3,234,3.981605113636364,54
28,Nissin,Chikin Ramen,Pack,Japan,5,234,3.981605113636364,77
27,Nissin,Demae Ramen Curry Flavor,Pack,Japan,4,234,3.981605113636364,77
26,Nissin,Soba Noodles With Mayo Mustard Squirt,Pack,Japan,4,234,3.981605113636364,77
25,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,3,234,3.981605113636364,77
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2,234,3.981605113636364,77
1865,Mama,Shrimp Tom Yum Flavour Cup Noodles,Cup,Myanmar,3.5,71,3.9464285714285716,19
1859,Mama,Instant Noodles chicken Green Curry Flavour,Pack,Cambodia,5,71,4.2,48
1854,Mama,Chinese Kitchen Chinese Style Instant Noodles,Pack,Myanmar,3.5,71,3.9464285714285716,48
1845,Mama,Oriental Style Instant Noodles Shrimp Flavour,Pack,Bangladesh,3.25,71,3.7142857142857144,48
1826,Mama,Instant Noodles Stewed Beef Flavour,Pack,Cambodia,3.5,71,4.2,48
1808,Mama,Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour,Cup,Thailand,3.5,71,3.384816753926702,19
1805,Mama,Oriental Style Instant Noodles Tandoori Flavour,Pack,Bangladesh,4,71,3.7142857142857144,48
1803,Mama,Vegetarian Instant Noodles Tom Yum Flavour,Pack,Thailand,4,71,3.384816753926702,48
1767,Mama,Instant Noodles Shrimp Tom Yum Flavour,Pack,Cambodia,4,71,4.2,48
1755,Mama,Oriental Style Instant Noodles Hot & Spicy Flavour,Pack,Bangladesh,4,71,3.7142857142857144,48
1743,Mama,Rangers Snack Noodles Shrimp Tom Yum Flavour,Pack,Myanmar,4.5,71,3.9464285714285716,48
1731,Mama,Instant Noodles Creamy Shrimp Tom Yum Flavour,Pack,Cambodia,5,71,4.2,48
1716,Mama,Instant Noodles Egg Protein Noodles,Pack,Myanmar,3.5,71,3.9464285714285716,48
1696,Mama,Cup Yentafo Tom Yum Mohfai,Cup,Thailand,5,71,3.384816753926702,19
1695,Mama,Cup Shrimp Creamy Tom Yum,Cup,Thailand,5,71,3.384816753926702,19
1694,Mama,Instant Rice Vermicelli Bihun Goreng Original Flavour,Pack,Thailand,4.75,71,3.384816753926702,48
1693,Mama,Instant Noodles coconut Milk Flavour,Cup,Myanmar,5,71,3.9464285714285716,19
1692,Mama,Oriental Style Instant Noodles Chicken Flavour,Pack,Bangladesh,3.25,71,3.7142857142857144,48
1691,Mama,Instant Cup Noodles Minced Prok Flavor,Cup,Thailand,3.5,71,3.384816753926702,19
1668,Mama,Cup Rice Vermicelli With Clear Soup,Cup,Thailand,3.5,71,3.384816753926702,19
1662,Mama,Non-Fried Instant Noodles Ramen Tonkotsu Flavor,Pack,Thailand,5,71,3.384816753926702,48
1656,Mama,JokCup Instant Porridge Soup Seafood Flavour,Cup,Thailand,3.5,71,3.384816753926702,19
1625,Mama,Instant Rice Noodle Soup Spicy Shrimp Flavour,Bowl,Thailand,5,71,3.384816753926702,4
1598,Mama,Cup Rice Vermicelli Shrimp Creamy Tom Yum,Cup,Thailand,4,71,3.384816753926702,19
1577,Mama,Pork Flavour Whole Wheat Noodle,Pack,Thailand,3.75,71,3.384816753926702,48
